"","rt","response","stim","trial_num","code"
"1",NA,NA,NA,NA,"LS3488BR"
"2",NA,NA,NA,NA,"LS3488BR"
"3",NA,NA,NA,NA,"LS3488BR"
"4",NA,NA,NA,NA,"LS3488BR"
"50",0.873054978315755,"correct","happy",50,"LS3488BR"
"7",0.241865101679733,"correct","sad",7,"LS3488BR"
"22",1.2147278572228,"false","sad",22,"LS3488BR"
"410",0.310936763463042,"correct","sad",4,"LS3488BR"
"58",0.378714884668135,"false","happy",58,"LS3488BR"
"19",0.369520180173627,"correct","sad",19,"LS3488BR"
"13",0.704249500824812,"correct","sad",13,"LS3488BR"
"30",0.915595164237923,"false","sad",30,"LS3488BR"
"54",0.449414999887324,"correct","happy",54,"LS3488BR"
"33",0.0721734379821949,"correct","happy",33,"LS3488BR"
"14",0.493327403783992,"correct","sad",14,"LS3488BR"
"5",0.529809293636012,"false","sad",5,"LS3488BR"
"48",0.0722836970875306,"false","happy",48,"LS3488BR"
"25",0.143595878989143,"correct","sad",25,"LS3488BR"
"57",0.367952181403853,"correct","happy",57,"LS3488BR"
"51",0.384418454577718,"false","happy",51,"LS3488BR"
"56",0.412239659408162,"correct","happy",56,"LS3488BR"
"43",1.05401671723658,"correct","happy",43,"LS3488BR"
"37",0.11124647914309,"correct","happy",37,"LS3488BR"
"47",0.356475123790902,"correct","happy",47,"LS3488BR"
"59",0.969606545986513,"correct","happy",59,"LS3488BR"
"17",0.197468614135737,"false","sad",17,"LS3488BR"
"40",0.967305718516985,"false","happy",40,"LS3488BR"
"110",0.139676971112562,"correct","sad",1,"LS3488BR"
"38",0.247014140964907,"false","happy",38,"LS3488BR"
"31",0.275936868340721,"correct","happy",31,"LS3488BR"
"21",0.509353719586989,"correct","sad",21,"LS3488BR"
"29",1.09611255488186,"correct","sad",29,"LS3488BR"
"44",0.895080297005799,"false","happy",44,"LS3488BR"
"27",0.184309371522872,"false","sad",27,"LS3488BR"
"26",0.290640824420453,"correct","sad",26,"LS3488BR"
"310",0.306386586807192,"correct","sad",3,"LS3488BR"
"11",0.560695950071658,"correct","sad",11,"LS3488BR"
"10",0.551038569412829,"false","sad",10,"LS3488BR"
"15",NA,NA,"sad",15,"LS3488BR"
"23",0.150321799780509,"correct","sad",23,"LS3488BR"
"45",0.336566229010698,"false","happy",45,"LS3488BR"
"52",0.437206981684365,"correct","happy",52,"LS3488BR"
"210",0.306293221522294,"correct","sad",2,"LS3488BR"
"41",0.0755506881132768,"false","happy",41,"LS3488BR"
"34",0.586023874589132,"correct","happy",34,"LS3488BR"
"32",0.273430204984567,"correct","happy",32,"LS3488BR"
"46",0.850050862872881,"correct","happy",46,"LS3488BR"
"53",1.16804721159306,"correct","happy",53,"LS3488BR"
"9",0.360141477829188,"correct","sad",9,"LS3488BR"
"12",0.491048671816346,"correct","sad",12,"LS3488BR"
"18",0.518642040259624,"false","sad",18,"LS3488BR"
"16",NA,NA,"sad",16,"LS3488BR"
"36",0.42899774908713,"false","happy",36,"LS3488BR"
"24",0.467873253419284,"correct","sad",24,"LS3488BR"
"6",0.267650176769613,"correct","sad",6,"LS3488BR"
"42",0.207482330317209,"correct","happy",42,"LS3488BR"
"28",0.46151467616718,"correct","sad",28,"LS3488BR"
"39",0.205715075342306,"correct","happy",39,"LS3488BR"
"55",0.22701688555907,"correct","happy",55,"LS3488BR"
"49",0.948132975396311,"false","happy",49,"LS3488BR"
"8",0.338678351885379,"correct","sad",8,"LS3488BR"
"35",0.337488583915659,"correct","happy",35,"LS3488BR"
"60",0.5582198344485,"correct","happy",60,"LS3488BR"
"20",0.106550268087668,"correct","sad",20,"LS3488BR"
"111",NA,NA,NA,NA,"LS3488BR"
"211",NA,NA,NA,NA,"LS3488BR"
