"","rt","response","stim","trial_num","code"
"1",NA,NA,NA,NA,"PM9191FT"
"2",NA,NA,NA,NA,"PM9191FT"
"3",NA,NA,NA,NA,"PM9191FT"
"4",NA,NA,NA,NA,"PM9191FT"
"6",0.156140556580026,"correct","sad",6,"PM9191FT"
"12",0.272094905806679,"correct","sad",12,"PM9191FT"
"60",0.356418481040773,"false","happy",60,"PM9191FT"
"43",0.820434379744509,"correct","happy",43,"PM9191FT"
"23",1.44171183763405,"false","sad",23,"PM9191FT"
"45",0.117909266217979,"correct","happy",45,"PM9191FT"
"8",NA,NA,"sad",8,"PM9191FT"
"34",0.187628293540499,"correct","happy",34,"PM9191FT"
"9",0.901289479774843,"false","sad",9,"PM9191FT"
"27",0.161997485995069,"correct","sad",27,"PM9191FT"
"410",0.517224670394094,"correct","sad",4,"PM9191FT"
"24",1.40714967561058,"correct","sad",24,"PM9191FT"
"57",0.196282921946821,"correct","happy",57,"PM9191FT"
"32",0.760021242414007,"correct","happy",32,"PM9191FT"
"59",0.25961239726366,"correct","happy",59,"PM9191FT"
"10",0.684547249386703,"correct","sad",10,"PM9191FT"
"310",0.592542054794289,"correct","sad",3,"PM9191FT"
"20",0.428828112961757,"correct","sad",20,"PM9191FT"
"51",0.444216747659948,"correct","happy",51,"PM9191FT"
"52",0.736606246918249,"correct","happy",52,"PM9191FT"
"41",0.52782531386866,"correct","happy",41,"PM9191FT"
"56",0.247258303963343,"correct","happy",56,"PM9191FT"
"5",0.142099547921348,"correct","sad",5,"PM9191FT"
"38",0.0922902489376504,"correct","happy",38,"PM9191FT"
"49",0.348410155371326,"correct","happy",49,"PM9191FT"
"29",0.486242746395407,"correct","sad",29,"PM9191FT"
"42",0.388790035474629,"correct","happy",42,"PM9191FT"
"46",1.48092724440597,"correct","happy",46,"PM9191FT"
"33",0.335633586649236,"correct","happy",33,"PM9191FT"
"40",0.396885433905526,"correct","happy",40,"PM9191FT"
"35",1.10490944286138,"correct","happy",35,"PM9191FT"
"37",0.43137719852917,"correct","happy",37,"PM9191FT"
"50",0.039612940242335,"correct","happy",50,"PM9191FT"
"48",0.589342253986713,"correct","happy",48,"PM9191FT"
"26",0.575757613647595,"false","sad",26,"PM9191FT"
"210",0.6813730230384,"false","sad",2,"PM9191FT"
"58",0.703815539569189,"correct","happy",58,"PM9191FT"
"25",0.145915355952982,"correct","sad",25,"PM9191FT"
"39",0.283526029311228,"correct","happy",39,"PM9191FT"
"31",1.35822843553466,"correct","happy",31,"PM9191FT"
"15",0.384857934949165,"correct","sad",15,"PM9191FT"
"36",0.62790025585838,"correct","happy",36,"PM9191FT"
"14",0.158744378086315,"correct","sad",14,"PM9191FT"
"47",0.415008646706143,"correct","happy",47,"PM9191FT"
"11",0.31532695388519,"correct","sad",11,"PM9191FT"
"13",0.381227409221792,"correct","sad",13,"PM9191FT"
"18",0.241375754124365,"correct","sad",18,"PM9191FT"
"19",1.30957461078691,"correct","sad",19,"PM9191FT"
"44",1.33620321656291,"correct","happy",44,"PM9191FT"
"54",0.107183895133872,"correct","happy",54,"PM9191FT"
"17",1.12864831837003,"correct","sad",17,"PM9191FT"
"30",0.198986892037195,"correct","sad",30,"PM9191FT"
"7",0.720909223890283,"false","sad",7,"PM9191FT"
"110",0.373515827934041,"correct","sad",1,"PM9191FT"
"16",0.61401473689724,"false","sad",16,"PM9191FT"
"28",0.572261453146321,"correct","sad",28,"PM9191FT"
"55",0.151858509676833,"correct","happy",55,"PM9191FT"
"21",0.85027526211491,"correct","sad",21,"PM9191FT"
"53",NA,NA,"happy",53,"PM9191FT"
"22",0.909931718359588,"correct","sad",22,"PM9191FT"
"111",NA,NA,NA,NA,"PM9191FT"
"211",NA,NA,NA,NA,"PM9191FT"
