"","rt","response","stim","trial_num","code"
"1",NA,NA,NA,NA,"PI4883CB"
"2",NA,NA,NA,NA,"PI4883CB"
"3",NA,NA,NA,NA,"PI4883CB"
"4",NA,NA,NA,NA,"PI4883CB"
"10",0.959720914548648,"correct","sad",10,"PI4883CB"
"49",0.80207235187767,"correct","happy",49,"PI4883CB"
"39",1.200379050684,"correct","happy",39,"PI4883CB"
"24",0.109779810049678,"false","sad",24,"PI4883CB"
"310",0.305018316511066,"false","sad",3,"PI4883CB"
"16",0.386338442732681,"correct","sad",16,"PI4883CB"
"15",0.354040002185674,"correct","sad",15,"PI4883CB"
"43",0.83880273194696,"false","happy",43,"PI4883CB"
"26",0.293099943702468,"correct","sad",26,"PI4883CB"
"44",0.212802675063598,"correct","happy",44,"PI4883CB"
"13",0.894792993942862,"correct","sad",13,"PI4883CB"
"37",0.155628163508453,"correct","happy",37,"PI4883CB"
"17",0.298655459666173,"correct","sad",17,"PI4883CB"
"47",0.188019702088796,"correct","happy",47,"PI4883CB"
"56",1.02263818713189,"correct","happy",56,"PI4883CB"
"35",0.258742531825606,"false","happy",35,"PI4883CB"
"31",0.154893965373301,"correct","happy",31,"PI4883CB"
"30",0.175838306360046,"correct","sad",30,"PI4883CB"
"8",0.0971103875409092,"false","sad",8,"PI4883CB"
"40",0.35097081372617,"correct","happy",40,"PI4883CB"
"110",0.820728384840911,"false","sad",1,"PI4883CB"
"25",0.160834056525479,"false","sad",25,"PI4883CB"
"410",0.204978371336634,"correct","sad",4,"PI4883CB"
"20",0.126464368386086,"correct","sad",20,"PI4883CB"
"23",0.309809575135151,"false","sad",23,"PI4883CB"
"46",0.373057260900939,"correct","happy",46,"PI4883CB"
"34",NA,NA,"happy",34,"PI4883CB"
"36",0.237305285364536,"correct","happy",36,"PI4883CB"
"45",0.452809821544316,"correct","happy",45,"PI4883CB"
"52",0.336644924771157,"correct","happy",52,"PI4883CB"
"42",0.388504721292597,"correct","happy",42,"PI4883CB"
"11",0.520972830190117,"false","sad",11,"PI4883CB"
"58",0.646095691626314,"correct","happy",58,"PI4883CB"
"28",0.273545200846773,"correct","sad",28,"PI4883CB"
"19",0.558971758759784,"correct","sad",19,"PI4883CB"
"53",0.23791946554884,"false","happy",53,"PI4883CB"
"59",0.721980333483527,"correct","happy",59,"PI4883CB"
"48",0.377488469074365,"correct","happy",48,"PI4883CB"
"18",0.697323374966939,"correct","sad",18,"PI4883CB"
"38",0.20067169840058,"correct","happy",38,"PI4883CB"
"60",0.745155851472704,"false","happy",60,"PI4883CB"
"21",NA,NA,"sad",21,"PI4883CB"
"51",0.303210180588707,"false","happy",51,"PI4883CB"
"12",0.172331424263922,"correct","sad",12,"PI4883CB"
"57",0.540448842199169,"correct","happy",57,"PI4883CB"
"22",0.280435422769696,"correct","sad",22,"PI4883CB"
"14",0.589035549595431,"correct","sad",14,"PI4883CB"
"6",NA,NA,"sad",6,"PI4883CB"
"9",1.45674764520638,"correct","sad",9,"PI4883CB"
"32",0.25690245300764,"correct","happy",32,"PI4883CB"
"210",0.313421394916621,"correct","sad",2,"PI4883CB"
"33",0.341123803478621,"correct","happy",33,"PI4883CB"
"55",0.525633395368312,"correct","happy",55,"PI4883CB"
"41",0.171742292101247,"false","happy",41,"PI4883CB"
"7",0.337197037246347,"correct","sad",7,"PI4883CB"
"54",0.490602596295074,"correct","happy",54,"PI4883CB"
"50",NA,NA,"happy",50,"PI4883CB"
"27",0.188572200755309,"correct","sad",27,"PI4883CB"
"5",0.29935221046377,"correct","sad",5,"PI4883CB"
"29",1.12560127947922,"false","sad",29,"PI4883CB"
"111",NA,NA,NA,NA,"PI4883CB"
"211",NA,NA,NA,NA,"PI4883CB"
