"","rt","response","stim","trial_num","code"
"1",NA,NA,NA,NA,"RO8951CV"
"2",NA,NA,NA,NA,"RO8951CV"
"3",NA,NA,NA,NA,"RO8951CV"
"4",NA,NA,NA,NA,"RO8951CV"
"24",0.236163705665921,"correct","sad",24,"RO8951CV"
"32",0.940247309794064,"correct","happy",32,"RO8951CV"
"25",0.442650907584037,"correct","sad",25,"RO8951CV"
"56",0.165542532863363,"correct","happy",56,"RO8951CV"
"58",0.538324524975926,"correct","happy",58,"RO8951CV"
"48",0.433105939086057,"correct","happy",48,"RO8951CV"
"26",0.429495297704776,"false","sad",26,"RO8951CV"
"11",0.349622165489295,"correct","sad",11,"RO8951CV"
"39",0.608012886525762,"correct","happy",39,"RO8951CV"
"38",0.776729371705213,"correct","happy",38,"RO8951CV"
"8",0.141609111439588,"false","sad",8,"RO8951CV"
"20",0.134356500568977,"correct","sad",20,"RO8951CV"
"7",0.175094206975149,"correct","sad",7,"RO8951CV"
"59",1.05575386204717,"correct","happy",59,"RO8951CV"
"34",0.610044128976092,"correct","happy",34,"RO8951CV"
"47",0.43342892685892,"correct","happy",47,"RO8951CV"
"110",0.593977754701431,"correct","sad",1,"RO8951CV"
"51",0.501564295370978,"false","happy",51,"RO8951CV"
"9",0.42812104918117,"correct","sad",9,"RO8951CV"
"27",0.237436388446325,"false","sad",27,"RO8951CV"
"29",0.408849328403013,"false","sad",29,"RO8951CV"
"43",0.0674150912670015,"correct","happy",43,"RO8951CV"
"22",0.51693121799655,"false","sad",22,"RO8951CV"
"49",0.174331192580958,"correct","happy",49,"RO8951CV"
"45",0.905668408558035,"correct","happy",45,"RO8951CV"
"15",0.321651577175785,"false","sad",15,"RO8951CV"
"35",0.115880437554731,"correct","happy",35,"RO8951CV"
"55",0.60737723315448,"correct","happy",55,"RO8951CV"
"23",0.647982347799708,"correct","sad",23,"RO8951CV"
"30",0.114483209571887,"correct","sad",30,"RO8951CV"
"16",1.08116327182673,"correct","sad",16,"RO8951CV"
"53",0.803123431882717,"correct","happy",53,"RO8951CV"
"210",0.839861340001306,"correct","sad",2,"RO8951CV"
"36",0.397013422313578,"correct","happy",36,"RO8951CV"
"46",0.538727454015623,"correct","happy",46,"RO8951CV"
"12",0.730441857408907,"false","sad",12,"RO8951CV"
"10",0.0903749972908723,"false","sad",10,"RO8951CV"
"28",0.702477641026019,"correct","sad",28,"RO8951CV"
"44",0.384410153402888,"correct","happy",44,"RO8951CV"
"37",0.293311814281463,"correct","happy",37,"RO8951CV"
"31",0.383495495095612,"correct","happy",31,"RO8951CV"
"5",0.280093266558657,"false","sad",5,"RO8951CV"
"33",0.458180841132767,"correct","happy",33,"RO8951CV"
"52",0.100048902052387,"correct","happy",52,"RO8951CV"
"14",0.664686599095765,"false","sad",14,"RO8951CV"
"50",0.371337147263114,"correct","happy",50,"RO8951CV"
"57",0.426774758990784,"correct","happy",57,"RO8951CV"
"410",0.0782357393943565,"false","sad",4,"RO8951CV"
"17",0.0475539621099683,"false","sad",17,"RO8951CV"
"60",0.492664720928181,"correct","happy",60,"RO8951CV"
"18",0.84860324759459,"correct","sad",18,"RO8951CV"
"6",0.752125510870771,"correct","sad",6,"RO8951CV"
"19",1.02144468607224,"false","sad",19,"RO8951CV"
"13",0.306684099094252,"correct","sad",13,"RO8951CV"
"40",1.07986329501785,"correct","happy",40,"RO8951CV"
"42",0.482572684858672,"correct","happy",42,"RO8951CV"
"41",0.202170134488635,"correct","happy",41,"RO8951CV"
"54",0.576311136026385,"correct","happy",54,"RO8951CV"
"310",0.454933659317609,"correct","sad",3,"RO8951CV"
"21",0.187130446150096,"false","sad",21,"RO8951CV"
"111",NA,NA,NA,NA,"RO8951CV"
"211",NA,NA,NA,NA,"RO8951CV"
