"","rt","response","stim","trial_num","code"
"1",NA,NA,NA,NA,"TF7362ZJ"
"2",NA,NA,NA,NA,"TF7362ZJ"
"3",NA,NA,NA,NA,"TF7362ZJ"
"4",NA,NA,NA,NA,"TF7362ZJ"
"20",0.789793099508292,"correct","sad",20,"TF7362ZJ"
"30",0.285889708648475,"correct","sad",30,"TF7362ZJ"
"11",0.209468122139272,"false","sad",11,"TF7362ZJ"
"18",0.70912399008852,"correct","sad",18,"TF7362ZJ"
"35",0.235247786981863,"correct","happy",35,"TF7362ZJ"
"58",0.776402306166988,"correct","happy",58,"TF7362ZJ"
"7",0.0732382227842596,"false","sad",7,"TF7362ZJ"
"31",0.385347781922109,"correct","happy",31,"TF7362ZJ"
"48",0.461072805595266,"correct","happy",48,"TF7362ZJ"
"410",0.298510760497093,"correct","sad",4,"TF7362ZJ"
"50",0.261646405595773,"false","happy",50,"TF7362ZJ"
"17",0.193879854436383,"correct","sad",17,"TF7362ZJ"
"60",0.143499708823399,"false","happy",60,"TF7362ZJ"
"59",NA,NA,"happy",59,"TF7362ZJ"
"24",0.171377539868107,"correct","sad",24,"TF7362ZJ"
"34",1.3635259824292,"correct","happy",34,"TF7362ZJ"
"14",0.383161739732161,"false","sad",14,"TF7362ZJ"
"46",0.784119372468993,"correct","happy",46,"TF7362ZJ"
"47",1.48128224707283,"correct","happy",47,"TF7362ZJ"
"39",0.434328383747025,"correct","happy",39,"TF7362ZJ"
"210",1.14420575765357,"correct","sad",2,"TF7362ZJ"
"37",0.147616104562989,"correct","happy",37,"TF7362ZJ"
"52",0.169816932278973,"correct","happy",52,"TF7362ZJ"
"10",0.248071422335551,"correct","sad",10,"TF7362ZJ"
"22",0.39614476511902,"correct","sad",22,"TF7362ZJ"
"6",1.13868820406733,"correct","sad",6,"TF7362ZJ"
"32",0.543918354804876,"correct","happy",32,"TF7362ZJ"
"36",0.203975786357806,"correct","happy",36,"TF7362ZJ"
"40",0.378199573544521,"correct","happy",40,"TF7362ZJ"
"16",0.270092749189262,"false","sad",16,"TF7362ZJ"
"21",0.24277694082316,"correct","sad",21,"TF7362ZJ"
"55",0.792672709132924,"correct","happy",55,"TF7362ZJ"
"49",0.38456588456081,"correct","happy",49,"TF7362ZJ"
"27",0.421242496061397,"false","sad",27,"TF7362ZJ"
"42",0.294303229299344,"correct","happy",42,"TF7362ZJ"
"110",0.703121569670782,"false","sad",1,"TF7362ZJ"
"26",0.405462446115395,"false","sad",26,"TF7362ZJ"
"44",0.323625154893828,"correct","happy",44,"TF7362ZJ"
"25",1.05369738942554,"correct","sad",25,"TF7362ZJ"
"28",0.52506960596841,"false","sad",28,"TF7362ZJ"
"45",1.42413273820624,"correct","happy",45,"TF7362ZJ"
"29",0.423517834351759,"false","sad",29,"TF7362ZJ"
"19",0.629535817773214,"false","sad",19,"TF7362ZJ"
"9",0.638128600317126,"false","sad",9,"TF7362ZJ"
"38",0.14466469608076,"correct","happy",38,"TF7362ZJ"
"15",0.125307069836817,"correct","sad",15,"TF7362ZJ"
"310",0.199536454557185,"correct","sad",3,"TF7362ZJ"
"12",0.0891614757718923,"correct","sad",12,"TF7362ZJ"
"41",0.351178316091454,"correct","happy",41,"TF7362ZJ"
"51",0.356818384227634,"correct","happy",51,"TF7362ZJ"
"23",0.605632786437046,"correct","sad",23,"TF7362ZJ"
"5",0.367401146978553,"correct","sad",5,"TF7362ZJ"
"54",0.193059003586205,"correct","happy",54,"TF7362ZJ"
"57",0.102676174978788,"correct","happy",57,"TF7362ZJ"
"43",0.415338785758288,"correct","happy",43,"TF7362ZJ"
"8",0.56041413929742,"correct","sad",8,"TF7362ZJ"
"56",0.799276912986777,"correct","happy",56,"TF7362ZJ"
"53",0.347723017778295,"false","happy",53,"TF7362ZJ"
"33",0.2299952129317,"correct","happy",33,"TF7362ZJ"
"13",0.397190102467817,"correct","sad",13,"TF7362ZJ"
"111",NA,NA,NA,NA,"TF7362ZJ"
"211",NA,NA,NA,NA,"TF7362ZJ"
