"","rt","response","stim","trial_num","code"
"1",NA,NA,NA,NA,"YK2791IA"
"2",NA,NA,NA,NA,"YK2791IA"
"3",NA,NA,NA,NA,"YK2791IA"
"4",NA,NA,NA,NA,"YK2791IA"
"58",0.288109374380886,"correct","happy",58,"YK2791IA"
"51",0.16879128894172,"false","happy",51,"YK2791IA"
"25",1.38874257819924,"correct","sad",25,"YK2791IA"
"8",0.712639748501289,"correct","sad",8,"YK2791IA"
"23",0.2181435570789,"correct","sad",23,"YK2791IA"
"16",0.419191856299754,"false","sad",16,"YK2791IA"
"48",0.243145920852169,"correct","happy",48,"YK2791IA"
"56",0.995406558809334,"correct","happy",56,"YK2791IA"
"49",0.215146465709301,"correct","happy",49,"YK2791IA"
"31",0.63247305715894,"correct","happy",31,"YK2791IA"
"210",0.425356397546401,"false","sad",2,"YK2791IA"
"110",0.924793354309824,"false","sad",1,"YK2791IA"
"310",0.067529572766214,"false","sad",3,"YK2791IA"
"5",0.407127006148418,"correct","sad",5,"YK2791IA"
"36",0.495189274140158,"correct","happy",36,"YK2791IA"
"40",0.536550572673193,"false","happy",40,"YK2791IA"
"6",0.399758722608058,"correct","sad",6,"YK2791IA"
"18",0.774476506401004,"correct","sad",18,"YK2791IA"
"33",1.12257400949234,"correct","happy",33,"YK2791IA"
"19",0.321401280331096,"correct","sad",19,"YK2791IA"
"34",0.18109863718342,"false","happy",34,"YK2791IA"
"41",0.473407957375112,"correct","happy",41,"YK2791IA"
"9",0.198306368754005,"false","sad",9,"YK2791IA"
"20",0.197106836730246,"false","sad",20,"YK2791IA"
"7",0.227937428169799,"false","sad",7,"YK2791IA"
"22",0.218974170765247,"correct","sad",22,"YK2791IA"
"35",0.369248941738471,"correct","happy",35,"YK2791IA"
"28",0.0919358800155198,"correct","sad",28,"YK2791IA"
"54",0.785352142193879,"correct","happy",54,"YK2791IA"
"24",0.205528341107394,"false","sad",24,"YK2791IA"
"11",0.661980944239915,"correct","sad",11,"YK2791IA"
"12",0.08830708556302,"correct","sad",12,"YK2791IA"
"55",0.197894155720403,"correct","happy",55,"YK2791IA"
"39",0.429594497399278,"correct","happy",39,"YK2791IA"
"50",0.493715514320408,"correct","happy",50,"YK2791IA"
"14",0.355279294990144,"correct","sad",14,"YK2791IA"
"410",0.302871011772356,"false","sad",4,"YK2791IA"
"30",0.341591449569395,"correct","sad",30,"YK2791IA"
"38",0.409687635999986,"correct","happy",38,"YK2791IA"
"47",0.117289074611954,"correct","happy",47,"YK2791IA"
"59",1.06020424895598,"correct","happy",59,"YK2791IA"
"42",0.219112871363171,"correct","happy",42,"YK2791IA"
"44",0.85840949665954,"correct","happy",44,"YK2791IA"
"37",0.499950272916442,"correct","happy",37,"YK2791IA"
"13",0.177572526263412,"correct","sad",13,"YK2791IA"
"29",1.31907500777483,"correct","sad",29,"YK2791IA"
"53",1.02053567370794,"correct","happy",53,"YK2791IA"
"52",0.824556946095848,"correct","happy",52,"YK2791IA"
"26",0.230708176542764,"correct","sad",26,"YK2791IA"
"45",0.684564456811349,"false","happy",45,"YK2791IA"
"46",0.257538411204601,"correct","happy",46,"YK2791IA"
"21",0.190678591765715,"false","sad",21,"YK2791IA"
"57",0.199034280831098,"correct","happy",57,"YK2791IA"
"27",0.318375083111122,"false","sad",27,"YK2791IA"
"32",0.720937116085454,"correct","happy",32,"YK2791IA"
"15",0.894166328755671,"correct","sad",15,"YK2791IA"
"43",0.130392740597729,"correct","happy",43,"YK2791IA"
"17",0.105527238462896,"correct","sad",17,"YK2791IA"
"60",0.987361099345091,"correct","happy",60,"YK2791IA"
"10",1.22825794100691,"correct","sad",10,"YK2791IA"
"111",NA,NA,NA,NA,"YK2791IA"
"211",NA,NA,NA,NA,"YK2791IA"
